"ID";"GROUP";"PARTNER";"i"
"001";14;"";7
"005";14;"";7
"015";32;"";9
"017";33;"";7
"019";34;"";7
"021";135;"";10
"031";53;"";10
"033";51;"";7
"035";37;"";7
"037";52;"";7
"37B";152;"";7
"041";235;"";7
"043";83;"";10
"47A";36;"";7
"47B";336;"";7
"053";136;"";9
"061";11;"";10
"065";12;"1112";10
"067";12;"1112";9
"65B";86;"";10
"71A";99;"";10
"71B";92;"";13
"073";24;"";7
"73B";24;"";7
"075";25;"";7
"079";16;"1005";7
"087";29;"1008";7
"089";20;"1006";7
"091";11;"";10
"093";30;"1009";7
"095";11;"";10
"097";30;"1009";7
"099";17;"1010";7
"101";17;"1010";7
"103";17;"";7
"105";16;"";9
"107";17;"";7
"111";16;"1005";7
"113";16;"";7
"117";4;"";10
"121";1;"";10
"123";2;"";10
"129";77;"";10
"137";61;"";15
"143";67;"";10
"147";64;"";10
"149";70;"";7
"151";71;"";10
"153";71;"";7
"157";6;"";7
"161";8;"";10
"165";9;"";7
"169";39;"";7
"181";39;"1015";13
"183";39;"1015";13
"185";39;"";7
"191";39;"";15
"195";41;"";7
"195B";141;"";7
"201";40;"1011";10
"203";43;"";13
"203B";143;"";13
"209";41;"";7
"221";48;"1012";10
"223";48;"1012";10
"225";48;"1012";10
"251";82;"";7
"253";39;"";10
"289";78;"";7
"291";9;"";7
"293";19;"";10
"295";3;"1003";7
"299";3;"1003";7
"303";71;"";7
"305";39;"";7
"319";50;"";7
"329";153;"";10
"333";84;"1007";7
"333A";84;"1007";7
"41A";93;"";7
"41B";94;"";7
"777";13;"";10
"109A";17;"";7
"109B";61;"";10
"115A";30;"";10
"115B";62;"";13
"119A";63;"";10
"11B";31;"";7
"125A";1;"";7
"125B";73;"";7
"125C";80;"1000";7
"127A";75;"";7
"127C";74;"";7
"127D";76;"";7
"127E";80;"";7
"129A";5;"";10
"131A";13;"";7
"131B";49;"";10
"133A";15;"";10
"133B";64;"";7
"139A";65;"";7
"139B";17;"";10
"143A";68;"";10
"143B";69;"";10
"145B";64;"";15
"155B";80;"1000";7
"157A";72;"";7
"157B";7;"";7
"163A";73;"";7
"163B";2;"1017";10
"163C";2;"1017";10
"167A";7;"";7
"171A";57;"1014";7
"173B";58;"";7
"173C";59;"";7
"177B";57;"1014";7
"187A";80;"1000";7
"187B";79;"";7
"193A";40;"1011";10
"193B";41;"";7
"193C";241;"";7
"195A";10;"";21
"197B";42;"";7
"207A";44;"";7
"215A";46;"";7
"215B";47;"";7
"39A";236;"";7
"39B";35;"";7
"39C";335;"1035";7
"39D";335;"1035";7
"39E";335;"1035";7
"39F";335;"1035";7
"444A";85;"";10
"444P";91;"";10
"55A";20;"1006";7
"55B";55;"";7
"57A";25;"";7
"57B";22;"";7
"63B";43;"";7
"77A";20;"";7
"77B";16;"";7
"81A";28;"";7
"81B";29;"1008";7
"9A";14;"";7
"9B";38;"";7
